block_number,n_pairs,n_conc
19465107,7154,3749
19465115,16211,8208
19465130,7703,4047
19465131,19513,9000
19465149,7609,3464
19465152,14029,6871
19465153,6924,3461
19465161,6734,3144
19465162,12341,6631
19465165,13099,6786
19465172,12887,6580
19465181,7315,3776
19465192,12000,6537
19465193,22503,11903
19465195,15061,7599
19465201,8980,4591
19465202,1556,780
19465206,51380,25995
19465220,6472,3119
19465252,3330,1706
19465258,2218,1094
19465273,13509,6882
19465277,8157,3973
19465311,10059,5413
19465323,17799,8609
19465332,34448,17420
19465335,12440,6103
19465336,8773,3933
19465353,16165,8455
19465355,8633,4403
19465357,25350,13308
19465362,17676,9111
19465363,9899,5100
19465364,9443,4694
19465370,8161,4294
19465375,20020,10827
19465376,6240,3572
19465387,23599,11728
19465397,16607,8497
19465405,18060,8270
19465420,15472,7568
19465429,12047,6241
19465434,16787,8542
19465443,25553,12886
19465452,22230,10732
19465464,6833,3479
19465466,8939,5160
19465473,17188,9557
19465477,12334,5345
19465480,10937,5911
19465485,22481,11942
19465496,16047,8024
19465498,15603,8224
19465499,10597,5067
19465500,22854,11200
19465508,12794,6371
19465509,6898,3603
19465522,4825,2556
19465528,51389,24637
19465533,19821,10214
19465539,47934,23891
19465540,24433,12465
19465541,23767,12173
19465544,30387,14368
19465545,9932,5034
19465552,6785,3057
19465556,9847,4488
19465586,33821,17709
19465589,56773,28252
19465590,7171,3603
19465591,12538,5992
19465617,2953,1573
19465626,62,38
19465629,16572,8027
19465638,74870,38662
19465640,14271,7626
19465641,11318,6239
19465642,10393,4502
19465644,7294,3915
19465649,7950,3689
19465654,11575,6196
19465655,9982,5038
19465664,9270,4494
19465669,4879,2576
19465674,10211,5357
19465677,6914,3870
19465679,14270,6647
19465681,28387,13815
19465686,51917,24947
19465690,34025,17176
19465701,15059,7708
19465705,5557,2540
19465718,24454,12264
19465736,67013,33425
19465746,5928,2850
19465753,10875,5528
19465771,15326,7558
19465772,15713,7489
19465773,7718,3967
19465804,8418,3815
19465805,16368,8645
19465816,6563,3295
19465817,7040,3811
19465826,6189,3383
19465827,16313,9009
19465829,24952,11752
19465834,11046,5929
19465843,13830,7185
19465868,27237,12717
19465870,11987,6308
19465873,9420,5129
19465927,9176,4441
19465943,53069,26727
19465947,16157,8021
19465950,4903,2724
19465966,6765,3249
19465967,12844,6153
19465970,9603,5101
19465974,58969,28222
19465997,11447,5748
19466011,10584,5105
19466037,10712,5447
19466041,26239,12563
19466044,7071,3453
19466047,50,14
19466051,27434,14376
19466054,16483,8458
19466055,10016,5061
19466069,11398,5738
19466075,12878,6007
19466080,1814,1062
19466081,22987,11537
19466087,590,304
19466096,5207,2515
19466109,9262,5106
19466122,15996,8095
19466133,25796,12689
19466141,5357,2552
19466155,10784,5594
19466177,7666,3676
19466189,9665,5360
19466192,12058,6015
19466193,8195,3913
19466201,24,17
19466202,27591,12252
19466212,32845,16011
19466213,36907,17864
19466224,15229,7284
19466233,12096,5901
19466242,17551,8566
19466248,23243,11847
19466262,29850,14059
19466286,71295,35834
19466291,6347,3307
19466298,8480,4232
19466303,591,318
19466304,62842,31690
19466307,31794,16481
19466308,8101,4308
19466313,3527,1779
19466314,12132,6422
19466315,11318,5827
19466320,9326,4618
19466322,3379,1518
19466365,5082,2292
19466371,2136,1212
19466381,17234,9006
19466393,36531,17846
19466397,8315,4043
19466414,46832,24456
19466429,53128,28889
19466430,15390,7661
19466438,9044,4421
19466443,9958,4799
19466445,45613,24151
19466451,6128,3094
19466459,6678,3213
19466462,14217,7510
19466466,5030,2605
19466474,41082,21258
19466479,12086,6255
19466480,10351,5376
19466481,3270,1731
19466483,11770,5645
19466485,6782,3272
19466494,7918,3811
19466499,9503,4832
19466509,12330,6391
19466530,24390,12089
19466532,10466,5186
19466540,56359,28020
19466545,8774,4553
19466553,7061,3569
19466570,2809,1201
19466576,34545,18132
19466588,18465,9447
19466591,3376,1841
19466592,9039,4567
19466599,8350,3943
19466604,20271,9951
19466609,14334,7092
19466614,8124,4376
19466640,9712,4967
19466648,5108,2667
19466650,38583,19998
19466656,6219,3102
19466665,10125,4793
19466671,6986,3494
19466674,43,22
19466687,14640,7789
19466690,37108,18097
19466693,7485,4112
19466697,9949,4753
19466699,7104,3417
19466700,22358,11211
19466704,10573,5139
19466705,28286,14738
19466707,8516,4161
19466737,8995,4398
19466740,8914,4007
19466743,12059,5882
19466744,35611,18133
19466746,11212,5485
19466751,10976,5021
19466752,7306,3315
19466754,14753,7450
19466755,13674,7220
19466768,9799,4601
19466771,9470,4729
19466776,9624,5086
19466780,1074,664
19466790,9633,4978
19466794,27764,14061
19466809,24345,12612
19466811,13842,7849
19466813,13771,6957
19466821,14361,6609
19466835,40291,20355
19466850,1592,920
19466853,4928,2714
19466862,27043,12557
19466874,83303,40280
19466878,13935,7205
19466882,6507,3247
19466899,10944,5368
19466904,17397,8496
19466935,23549,11643
19466947,9074,5262
19466954,11542,6025
19466957,13443,7240
19466993,43361,20810
19466994,32486,17349
19466997,12025,5631
19467009,19843,9411
19467016,23205,11759
19467025,12640,6411
19467026,9246,4577
19467034,46029,22150
19467036,9602,4821
19467047,12739,6717
19467058,8505,4514
19467065,14520,6778
19467076,18271,9779
19467084,10363,5475
19467091,11617,6150
19467094,405,146
19467111,17452,8615
19467115,16517,8705
19467117,939,398
19467128,39226,20682
19467130,3242,1702
19467132,9207,5195
19467133,7545,3730
19467138,6446,3273
19467144,12793,6621
19467159,44963,21778
19467161,100651,48964
19467169,41062,20239
19467174,16908,8864
19467185,9078,4583
19467189,11863,5740
19467192,9092,4808
19467194,3083,1689
19467198,8192,4412
19467202,10115,5226
19467207,19649,10299
19467212,9437,4555
19467236,26401,13373
19467243,12440,6313
19467250,14838,7516
19467251,1628,800
19467259,59267,31516
19467261,36916,18099
19467293,11363,5176
19467295,20699,11270
19467302,1496,637
19467314,47066,24840
19467315,8274,4136
19467335,12618,5854
19467337,21228,10595
19467363,11350,5951
19467365,21107,9879
19467385,13364,6205
19467397,16908,8704
19467398,15517,7800
19467400,8983,4147
19467403,17924,8994
19467410,23065,11343
19467413,16359,8060
19467440,9961,4677
19467451,2174,1250
19467460,7991,3892
19467461,23164,11951
19467468,15678,7569
19467470,22164,10826
19467482,79873,40326
19467494,13324,6890
19467520,18181,8928
19467536,5224,2576
19467570,11193,6012
19467599,13629,6219
19467624,51848,26348
19467630,12723,7298
19467641,11371,5321
19467643,35956,19355
19467664,39012,20391
19467679,3785,1879
19467681,25068,12980
19467686,17942,8691
19467690,19567,9366
19467691,177,80
19467694,28988,12989
19467712,16089,7838
19467721,20398,10206
19467740,44671,22085
19467753,14560,7088
19467756,14990,7073
19467757,11359,5430
19467769,16811,8299
19467771,23839,13039
19467774,14268,7371
19467783,66571,34464
19467789,24641,12236
19467792,25090,13186
19467804,24331,11866
19467809,27616,14397
19467813,29412,14364
19467820,5715,2459
19467823,16711,8360
19467825,12489,6678
19467833,16431,7953
19467838,12722,6832
19467850,15116,8086
19467864,14091,7264
19467877,26923,13943
19467889,13650,6960
19467895,21277,10410
19467898,17239,8390
19467904,35455,18090
19467905,28490,15292
19467907,44461,22431
19467911,26162,13155
19467918,45931,23912
19467940,1976,1026
19467962,15827,7900
19467966,15965,7825
19467968,26480,12959
19467970,46382,22013
19467975,19,12
19467979,21431,11482
19467982,17138,8552
19467988,26974,13197
19467989,43703,22464
19467994,35124,18725
19468001,13331,6000
19468017,34295,18150
19468031,15369,7506
19468036,19723,9776
19468044,100,55
19468067,21639,10754
19468068,9085,5096
19468072,14712,7862
19468076,46925,22414
19468079,30382,15041
19468084,61699,30570
19468085,11686,5436
19468090,10,6
19468094,66995,35680
19468095,22693,11269
19468099,33555,17027
19468106,80048,41327
19468111,11394,5322
19468119,11749,6384
19468123,50640,24412
