block_number,n_pairs,n_conc
19465107,7154,7030
19465115,16211,14765
19465130,7703,7220
19465131,19513,19019
19465149,7609,6504
19465152,14029,12033
19465153,6924,5434
19465161,6734,5230
19465162,12341,11777
19465165,13099,11968
19465172,12887,12271
19465181,7315,6604
19465192,12000,9807
19465193,22503,19463
19465195,15061,12152
19465201,8980,7678
19465202,1556,1556
19465206,51380,35071
19465220,6472,5703
19465252,3330,3057
19465258,2218,2218
19465273,13509,10377
19465277,8157,7316
19465311,10059,8106
19465323,17799,17018
19465332,34448,30955
19465335,12440,11947
19465336,8773,8584
19465353,16165,15010
19465355,8633,7484
19465357,25350,24127
19465362,17676,16087
19465363,9899,8868
19465364,9443,8572
19465370,8161,7261
19465375,20020,18719
19465376,6240,5950
19465387,23599,20860
19465397,16607,15204
19465405,18060,17170
19465420,15472,13712
19465429,12047,10257
19465434,16787,16570
19465443,25553,23260
19465452,22230,22010
19465464,6833,6065
19465466,8939,8120
19465473,17188,15062
19465477,12334,12334
19465480,10937,9793
19465485,22481,20920
19465496,16047,14821
19465498,15603,14237
19465499,10597,8372
19465500,22854,14934
19465508,12794,6244
19465509,6898,6543
19465522,4825,4138
19465528,51389,42264
19465533,19821,19511
19465539,47934,46010
19465540,24433,24174
19465541,23767,23767
19465544,30387,28097
19465545,9932,7132
19465552,6785,6387
19465556,9847,7372
19465586,33821,26823
19465589,56773,51399
19465590,7171,5691
19465591,12538,11660
19465617,2953,2329
19465626,62,37
19465629,16572,16472
19465638,74870,72644
19465640,14271,13338
19465641,11318,10903
19465642,10393,9396
19465644,7294,7294
19465649,7950,7359
19465654,11575,10979
19465655,9982,9123
19465664,9270,8190
19465669,4879,4474
19465674,10211,9308
19465677,6914,6853
19465679,14270,12488
19465681,28387,28128
19465686,51917,46140
19465690,34025,33118
19465701,15059,13489
19465705,5557,4510
19465718,24454,24036
19465736,67013,63495
19465746,5928,5858
19465753,10875,10104
19465771,15326,14839
19465772,15713,15501
19465773,7718,6855
19465804,8418,6158
19465805,16368,14742
19465816,6563,5579
19465817,7040,6840
19465826,6189,6087
19465827,16313,15072
19465829,24952,22535
19465834,11046,10155
19465843,13830,13293
19465868,27237,24155
19465870,11987,11981
19465873,9420,8722
19465927,9176,7632
19465943,53069,47735
19465947,16157,14965
19465950,4903,4724
19465966,6765,6418
19465967,12844,11741
19465970,9603,8297
19465974,58969,58340
19465997,11447,10882
19466011,10584,9307
19466037,10712,9799
19466041,26239,26239
19466044,7071,6243
19466047,50,16
19466051,27434,26913
19466054,16483,15261
