block_number,n_pairs,n_conc
23722247,13042,6319
23722255,14282,7126
23722270,27890,13319
23722271,16640,8042
23722290,7051,3272
23722292,40701,21820
23722294,41463,19033
23722301,58314,29039
23722302,29632,14785
23722305,23008,11217
23722313,30884,15173
23722322,24952,12271
23722333,16186,7736
23722334,10498,5194
23722336,22015,10982
23722342,10725,5434
23722344,30458,14815
23722347,11620,6331
23722361,10470,5288
23722394,16199,7983
23722400,20832,11010
23722415,42074,21104
23722418,5336,2416
23722453,16726,8274
23722464,42845,21085
23722474,89915,43176
23722477,44978,22653
23722478,34985,18105
23722495,3305,1621
23722497,16729,8054
23722499,19553,10183
23722504,77701,39196
23722505,14350,6602
23722506,26699,13597
23722512,22084,11979
23722517,21113,10283
23722518,12526,6479
23722529,8046,3829
23722540,47276,23730
23722547,40165,19265
23722563,1971,1113
23722571,2139,1036
23722577,28374,13601
23722585,41499,18714
23722595,16627,8676
23722606,35408,18658
23722607,30214,15364
23722609,50752,23928
23722616,8840,4412
23722620,10686,4899
23722622,13616,7000
23722628,23049,12407
23722638,484,163
23722641,47170,23488
23722642,29268,15307
23722643,3610,1810
23722650,21245,11433
23722651,28196,14401
23722665,20100,9310
23722671,23878,12700
23722675,17248,8771
23722682,19956,8308
23722683,13203,6013
23722687,15751,8009
23722688,30495,15075
23722694,38433,20446
23722699,20874,10962
23722729,1665,794
23722732,26646,13750
23722733,21466,10357
23722734,15966,8243
23722760,28594,14531
23722769,41139,20744
23722772,34548,17284
23722781,41764,20628
23722783,25915,11805
23722785,28351,13421
23722787,20122,10026
23722793,9954,4560
23722797,51892,25705
23722798,29646,15093
23722807,8302,4143
23722812,23091,12257
23722817,29378,15272
23722821,14548,7207
23722822,42050,20833
23722824,21040,11032
23722829,37805,18256
23722833,11331,5451
23722844,43252,22553
23722848,23570,12583
23722861,57319,29063
23722879,27143,14232
23722890,25660,12681
23722896,26240,11575
23722914,49168,24296
23722916,6455,3366
23722948,10496,4829
23722949,16497,7732
23722960,26021,12886
23722961,28767,13106
23722970,19772,10542
23722971,24327,12189
