block_number,n_pairs,n_conc
23722247,13042,12553
23722255,14282,11718
23722270,27890,21257
23722271,16640,12414
23722290,7051,6114
23722292,40701,30002
23722294,41463,37514
23722301,58314,54858
23722302,29632,27702
23722305,23008,20758
23722313,30884,22514
23722322,24952,21174
23722333,16186,12175
23722334,10498,8400
23722336,22015,17204
23722342,10725,9322
23722344,30458,19665
23722347,11620,8659
23722361,10470,10429
23722394,16199,12572
23722400,20832,15196
23722415,42074,34830
23722418,5336,3110
23722453,16726,11024
23722464,42845,34327
23722474,89915,74967
23722477,44978,29625
23722478,34985,28499
23722495,3305,3053
23722497,16729,14388
23722499,19553,13287
23722504,77701,59716
23722505,14350,11843
23722506,26699,22348
23722512,22084,15495
23722517,21113,18574
23722518,12526,10249
23722529,8046,7134
23722540,47276,42778
23722547,40165,32356
23722563,1971,1970
23722571,2139,2139
23722577,28374,25176
23722585,41499,36691
23722595,16627,14229
23722606,35408,30118
23722607,30214,27970
23722609,50752,47923
23722616,8840,8840
23722620,10686,9263
23722622,13616,12215
23722628,23049,17926
23722638,484,222
23722641,47170,43920
23722642,29268,21799
23722643,3610,2267
23722650,21245,17558
23722651,28196,22906
23722665,20100,16230
23722671,23878,20655
23722675,17248,14236
23722682,19956,16885
23722683,13203,11506
23722687,15751,15241
23722688,30495,24322
23722694,38433,33660
23722699,20874,17800
23722729,1665,874
23722732,26646,21946
23722733,21466,17816
23722734,15966,13120
23722760,28594,19933
23722769,41139,31225
23722772,34548,29550
23722781,41764,34424
23722783,25915,18027
23722785,28351,23541
23722787,20122,14996
23722793,9954,9954
23722797,51892,39609
23722798,29646,21053
23722807,8302,6673
23722812,23091,16239
23722817,29378,25178
23722821,14548,14258
23722822,42050,37119
23722824,21040,18322
23722829,37805,34254
23722833,11331,10500
23722844,43252,36275
23722848,23570,22166
23722861,57319,44900
23722879,27143,24543
23722890,25660,20829
23722896,26240,22420
23722914,49168,47226
23722916,6455,4897
23722948,10496,9778
23722949,16497,12488
23722960,26021,25021
23722961,28767,21554
23722970,19772,17406
23722971,24327,19853
23722973,21963,21575
23722978,45155,42648
23722987,21623,19832
23723012,4340,4067
23723014,22852,20671
23723017,41926,34067
23723018,53146,45351
23723071,19839,19371
23723088,30722,24819
23723092,24361,19091
23723094,13475,10528
23723110,13107,11141
23723111,13307,11444
23723114,7654,6069
23723118,63582,62713
23723142,26439,26354
23723156,27256,23301
23723182,23431,20859
23723186,26725,21548
23723189,20728,16864
23723192,19897,14872
23723195,58341,45529
23723199,20262,17331
23723200,20160,17013
23723213,46477,40995
23723220,15387,12745
23723225,29489,25256
23723227,8711,8647
23723232,6334,5333
23723241,42751,41224
23723254,28643,26141
23723267,33435,28824
23723278,19258,18464
23723286,35604,27075
